label,elevation,slope,distance_to_river,distance_to_coast,land_cover,soil_type,ndvi,rainfall
1,982.8413,15.48138,1138.701,16370.52,1,3,1,3349.8647
1,974.6863,8.009943,747.7754,19248.432,1,3,1,3538.06
1,892.30615,10.606233,268.32816,24026.062,1,3,1,3525.724
1,886.1468,15.514765,367.1294,19767.873,1,3,1,3369.4624
1,869.5797,24.04992,390.0359,14575.738,1,3,1,3472.689
1,867.5609,8.886664,975.40967,23323.615,1,3,1,3543.6946
1,866.5901,12.455631,1457.1863,16130.603,1,3,1,3267.0017
1,857.3734,23.283487,1453.8225,15991.88,1,3,1,3278.9104
1,847.1765,7.1111794,1714.2601,17381.44,1,3,1,3540.0774
1,831.8217,32.231472,192,14761.032,1,3,1,3508.985
1,707.77997,11.794652,122.1147,12631.828,1,3,1,3361.7976
1,707.68427,28.716581,736.565,12107.362,1,3,1,3245.586
1,700.7598,18.51193,171.76729,16520.527,1,3,1,3354.6606
1,688.5352,27.064716,22.627417,23472.72,1,3,1,3561.713
1,687.8074,22.03283,1102.4047,7464.0474,1,3,1,3461.9075
1,685.6213,5.6844144,221.84679,16435.77,1,3,1,3285.139
1,679.11053,7.0776052,1174.911,14472.745,1,3,1,3471.506
1,662.7712,23.758268,251.2051,15027.665,1,3,1,3329.8533
1,658.221,5.4736643,235.28706,14591.449,1,3,1,3320.3372
1,643.1133,13.571222,234.1965,11700.653,1,3,1,3315.923
1,642.52045,6.0843267,328.39,13178.468,1,3,1,3257.7727
1,627.96375,28.825932,33.941124,14597.738,1,3,1,3325.1577
1,617.9265,20.995577,701.678,9209.358,1,3,1,3447.7966
1,604.04,22.964376,46.647614,13221.122,1,3,1,3235.1638
1,591.97833,7.774226,651.49677,9082.344,1,3,1,3436.8018
1,577.6988,17.028915,419.14197,10506.607,1,3,1,3368.7441
1,566.23816,26.972372,628.80206,14228.906,1,3,1,3614.2612
1,566.1135,13.998436,32,9818.595,1,3,1,3474.168
1,565.3332,23.347305,290.87454,9464.676,1,3,1,3447.3625
1,550.63007,27.397865,1255.7961,14698.717,1,3,1,3457.3877
1,548.7724,12.498114,880.9086,9152.252,1,3,1,3445.6545
1,536.25726,4.871903,328,11012.395,1,3,1,3315.458
1,535.1685,10.987976,492.17883,9478.771,1,3,1,3620.67
1,512.2681,12.612664,220.68983,9956.967,1,3,1,3381.03
1,467.59503,49.574234,203.64676,8893.122,1,3,1,3433.0356
1,452.5192,17.683208,214.96046,11849.478,1,3,1,3573.1782
1,444.12878,29.585018,1440.9108,7146.4185,1,3,1,3463.8577
1,434.3245,16.282583,251.07768,9931.175,1,3,1,3667.3389
1,432.78796,54.01834,60.926186,11409.341,1,3,1,3183.973
1,424.77908,15.446418,404.8506,10025.478,1,3,1,3657.583
1,401.1545,9.152139,867.73267,15376.66,1,3,1,3575.6296
1,397.3161,7.490811,1485.8694,12743.025,1,3,1,3874.5457
1,395.6972,13.635004,33.941124,13796.679,1,3,1,3588.2437
1,394.70804,11.567653,1057.514,13006.263,1,3,1,3707.4949
1,392.92902,19.629456,1384.3699,13023.971,1,3,1,3871.6655
1,385.21417,9.530606,390.11792,13511.983,1,3,1,3637.897
1,383.35947,28.469627,408,9235.182,1,3,1,3423.3794
1,374.47345,25.309486,356.78564,11105.098,1,3,1,3616.32
1,371.8825,20.686686,820.7314,13336.525,1,3,1,3126.565
1,342.74988,19.762316,419.14197,10805.702,1,3,1,3627.5574
1,341.8088,17.037754,1262.5055,11805.281,1,3,1,3081.2666
1,338.36148,12.375449,1195.0029,12902.892,1,3,1,3572.036
1,324.37418,31.734497,586.78784,8945.452,1,3,1,3576.6018
1,306.073,28.184559,73.756355,8615.049,1,3,1,3521.3982
1,298.4953,30.11957,1679.6381,7090.3022,1,3,1,3393.6575
1,291.8175,26.774275,1001.7585,13577.478,1,3,1,3759.6602
1,288.59033,15.637387,1382.3574,12431.094,1,3,1,3771.6887
1,273.9449,37.62165,280,9304.716,1,3,1,3633.7937
1,273.89246,11.679097,404.2969,8904.015,1,3,1,3587.401
1,270.4293,5.535197,869.39056,12645.923,1,3,1,3858.901
1,256.80484,23.055492,88,10123.541,1,3,1,3624.955
1,256.254,9.718451,784,12593.975,1,3,1,3857.6614
1,253.40674,12.712733,242.91562,11881.699,1,3,1,3606.8767
1,251.01808,36.592335,175.4537,9764.405,1,3,1,3630.9397
1,250.23007,24.800402,440.65405,7654.198,1,3,1,3611.4885
1,239.23122,42.413525,230.33888,8159.1567,1,3,1,3767.819
