label,kecamatan,wo_value,lat,lon
1,TUKKA,163,182492.69690870907,488284.0788288944
1,TUKKA,833,193092.69690870907,498500.0788288944
1,TUKKA,781,193204.69690870907,495892.0788288944
1,TUKKA,115,185332.69690870907,487532.0788288944
1,TUKKA,33,186388.69690870907,487092.0788288944
1,TUKKA,403,188660.69690870907,486708.0788288944
1,TUKKA,575,190260.69690870907,493820.0788288944
1,TUKKA,188,188908.69690870907,485716.0788288944
1,TUKKA,911,186780.69690870907,495412.0788288944
1,TUKKA,785,188876.69690870907,493668.0788288944
1,TUKKA,603,188652.69690870907,488284.0788288944
1,TUKKA,914,186628.69690870907,495652.0788288944
1,TUKKA,508,189700.69690870907,489308.0788288944
1,TUKKA,13,186140.69690870907,485756.0788288944
1,TUKKA,10,186556.69690870907,485468.0788288944
1,TUKKA,814,193012.69690870907,496948.0788288944
1,TUKKA,11,187236.69690870907,484548.0788288944
1,TUKKA,473,185596.69690870907,492492.0788288944
1,TUKKA,441,189628.69690870907,489748.0788288944
1,TUKKA,657,191044.69690870907,493564.0788288944
1,TUKKA,716,191788.69690870907,495516.0788288944
1,TUKKA,351,184884.69690870907,492644.0788288944
1,TUKKA,16,185980.69690870907,485916.0788288944
1,TUKKA,528,191076.69690870907,488892.0788288944
1,TUKKA,852,194156.69690870907,497428.0788288944
1,TUKKA,698,187084.69690870907,491700.0788288944
1,TUKKA,9,186476.69690870907,484388.0788288944
1,TUKKA,173,187796.69690870907,486836.0788288944
1,TUKKA,870,188012.69690870907,495780.0788288944
1,TUKKA,937,186476.69690870907,496428.0788288944
1,TUKKA,733,188588.69690870907,493092.0788288944
1,TUKKA,205,182572.69690870907,487300.0788288944
1,TUKKA,343,190564.69690870907,485724.0788288944
1,TUKKA,814,189580.69690870907,495604.0788288944
1,TUKKA,744,193164.69690870907,495652.0788288944
1,TUKKA,146,181348.69690870907,487596.0788288944
1,TUKKA,667,187524.69690870907,494532.0788288944
1,TUKKA,622,188436.69690870907,491668.0788288944
1,TUKKA,890,193420.69690870907,498628.0788288944
1,TUKKA,197,183620.69690870907,491292.0788288944
1,TUKKA,281,183364.69690870907,490612.0788288944
1,TUKKA,389,184052.69690870907,488348.0788288944
1,TUKKA,253,192892.69690870907,486404.0788288944
1,TUKKA,772,187780.69690870907,493316.0788288944
1,TUKKA,528,191420.69690870907,488460.0788288944
1,PANDAN,2,185044.69690870907,483236.0788288944
1,PANDAN,2,186716.69690870907,481396.0788288944
1,PANDAN,103,181492.69690870907,484676.0788288944
1,PANDAN,2,183484.69690870907,481604.0788288944
1,PANDAN,87,181508.69690870907,484716.0788288944
1,PANDAN,19,182852.69690870907,484132.0788288944
1,PANDAN,5,187668.69690870907,482420.0788288944
1,PANDAN,15,189636.69690870907,481644.0788288944
1,PANDAN,149,190172.69690870907,481884.0788288944
1,PANDAN,79,189884.69690870907,482068.0788288944
1,PANDAN,2,187324.69690870907,482172.0788288944
1,PANDAN,16,182948.69690870907,481828.0788288944
1,PANDAN,21,185916.69690870907,482324.0788288944
1,PANDAN,8,181076.69690870907,485020.0788288944
1,PANDAN,1,185724.69690870907,480524.0788288944
1,PANDAN,37,188140.69690870907,481020.0788288944
1,PANDAN,198,191212.69690870907,484900.0788288944
1,PANDAN,-1,183388.69690870907,482380.0788288944
1,PANDAN,0,182508.69690870907,481860.0788288944
1,PANDAN,2,184540.69690870907,481476.0788288944
1,PANDAN,52,190868.69690870907,482116.0788288944
1,PANDAN,4,185924.69690870907,481692.0788288944
1,PANDAN,2,186692.69690870907,481876.0788288944
1,PANDAN,5,187876.69690870907,481764.0788288944
1,PANDAN,45,185948.69690870907,482548.0788288944
1,PANDAN,5,185692.69690870907,482284.0788288944
1,BARUS,5,223876.69690870907,434620.0788288944
1,BARUS,9,224196.69690870907,433028.0788288944
1,BARUS,12,223796.69690870907,436396.0788288944
1,BARUS,15,226948.69690870907,433084.0788288944
1,BARUS,8,224580.69690870907,434188.0788288944
1,BARUS,8,223116.69690870907,436948.0788288944
1,BARUS,12,225228.69690870907,432508.0788288944
1,BARUS,3,222484.69690870907,433556.0788288944
1,BARUS,4,223724.69690870907,434724.0788288944
1,BARUS,8,223012.69690870907,434284.0788288944
1,BARUS,8,223404.69690870907,433044.0788288944
1,BARUS,19,226692.69690870907,432836.0788288944
1,BARUS,12,225236.69690870907,433716.0788288944
1,BARUS,4,222836.69690870907,433348.0788288944
1,BARUS,15,223500.69690870907,435452.0788288944
1,BARUS,130,225036.69690870907,436028.0788288944
1,BARUS,1,222588.69690870907,435644.0788288944
1,BARUS,2,222164.69690870907,434540.0788288944
1,BARUS,10,224748.69690870907,433092.0788288944
1,BARUS,7,224692.69690870907,434572.0788288944
1,BARUS,3,223540.69690870907,435140.0788288944
1,BARUS,0,222492.69690870907,433940.0788288944
1,BARUS,12,224476.69690870907,433076.0788288944
1,BARUS,3,223292.69690870907,433804.0788288944
1,BARUS,10,224516.69690870907,432812.0788288944
1,BARUS,2,222612.69690870907,434740.0788288944
1,PINANGSORI,151,168780.69690870907,485204.0788288944
1,PINANGSORI,35,173868.69690870907,490268.0788288944
1,PINANGSORI,3,168076.69690870907,481916.0788288944
1,PINANGSORI,285,164340.69690870907,486748.0788288944
1,PINANGSORI,127,168596.69690870907,484828.0788288944
1,PINANGSORI,172,162780.69690870907,478676.0788288944
1,PINANGSORI,2,174868.69690870907,486692.0788288944
1,PINANGSORI,-1,167812.69690870907,484204.0788288944
1,PINANGSORI,56,161900.69690870907,486228.0788288944
1,PINANGSORI,5,173620.69690870907,487364.0788288944
1,PINANGSORI,7,175892.69690870907,487932.0788288944
1,PINANGSORI,5,171300.69690870907,486116.0788288944
1,PINANGSORI,4,158428.69690870907,482124.0788288944
1,PINANGSORI,73,162100.69690870907,479284.0788288944
1,PINANGSORI,226,162748.69690870907,477508.0788288944
1,PINANGSORI,286,179244.69690870907,491108.0788288944
1,PINANGSORI,7,169852.69690870907,486652.0788288944
1,PINANGSORI,10,158580.69690870907,478588.0788288944
1,PINANGSORI,13,165940.69690870907,480604.0788288944
1,PINANGSORI,7,158972.69690870907,482268.0788288944
1,PINANGSORI,83,162692.69690870907,486892.0788288944
1,PINANGSORI,299,178540.69690870907,491140.0788288944
1,PINANGSORI,6,168540.69690870907,481292.0788288944
1,PINANGSORI,7,160516.69690870907,475796.0788288944
1,PINANGSORI,34,161020.69690870907,480148.0788288944
1,PINANGSORI,124,161188.69690870907,480596.0788288944
1,KOLANG,1,194780.69690870907,472444.0788288944
1,KOLANG,-1,194748.69690870907,472524.0788288944
1,KOLANG,-1,194756.69690870907,472532.0788288944
1,KOLANG,-1,194804.69690870907,472500.0788288944
1,KOLANG,0,194796.69690870907,472428.0788288944
1,KOLANG,-3,194756.69690870907,472548.0788288944
1,KOLANG,1,194796.69690870907,472436.0788288944
1,KOLANG,-3,194692.69690870907,472540.0788288944
1,KOLANG,-3,194860.69690870907,472516.0788288944
1,KOLANG,-2,194724.69690870907,472484.0788288944
1,KOLANG,2,194804.69690870907,472460.0788288944
1,KOLANG,1,194844.69690870907,472476.0788288944
1,KOLANG,-4,194692.69690870907,472548.0788288944
1,KOLANG,1,194764.69690870907,472468.0788288944
1,KOLANG,0,194788.69690870907,472436.0788288944
1,KOLANG,0,194764.69690870907,472444.0788288944
1,KOLANG,0,194740.69690870907,472460.0788288944
1,KOLANG,2,194796.69690870907,472468.0788288944
1,KOLANG,-1,194764.69690870907,472428.0788288944
1,KOLANG,1,194756.69690870907,472476.0788288944
1,KOLANG,-1,194828.69690870907,472492.0788288944
1,KOLANG,1,194844.69690870907,472468.0788288944
1,KOLANG,-2,194708.69690870907,472508.0788288944
1,KOLANG,-2,194764.69690870907,472532.0788288944
1,KOLANG,0,194836.69690870907,472484.0788288944
1,KOLANG,1,194764.69690870907,472500.0788288944
1,SARUDIK,81,189156.69690870907,473628.0788288944
1,SARUDIK,5,188924.69690870907,474140.0788288944
1,SARUDIK,3,188940.69690870907,474124.0788288944
1,SARUDIK,67,189004.69690870907,473836.0788288944
1,SARUDIK,66,188948.69690870907,473684.0788288944
1,SARUDIK,19,188876.69690870907,473380.0788288944
1,SARUDIK,35,189236.69690870907,473460.0788288944
